ID,website,email_1,email_2,email_3,email_4,email_5,email_6,email_7,email_8,email_9,category_1,category_10,category_11,category_12,category_13,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9
95,,********@*******.**,,,,,,,,,,,,,,,,,,,,,
96,https://www.rwcgroupinc.com,***@**********.***,,,,,,,,,,,,,,,,,,,,,
97,https://www.koze.com,***@****************.***,,,,,,,,,,,,,,,,,,,,,
98,https://www.koze950.com,****@****************.***,,,,,,,,,,,,,,,,,,,,,
99,https://www.fox19.com,*****.********@*********.**,,,,,,,,,,,,,,,,,,,,,
100,https://www.cpbn.org,***@**********.***,,,,,,,,,,,,,,,,,,,,,
101,https://nenc.news/next,*****@*******.**,,,,,,,,,,,,,,,,,,,,,
102,https://wafcamfm.com,*****.***@*****.**,,,,,,,,,,,,,,,,,,,,,
103,https://www.wokc.com,******@***************.***,,,,,,,,,,,,,,,,,,,,,
104,https://www.955thebull.com/main.html,************@***********.***,,,,,,,,,,,,,,,,,,,,,
105,https://www.kcoy.com,****@**********************.***,,,,,,,,,,,,,,,,,,,,,
106,https://www.wdse.org/shows/almanac,********@*************.***,,,,,,,,,,,,,,,,,,,,,
107,https://rock105.fm,*****@************.***,,,,,,,,,,,,,,,,,,,,,
108,https://www.ksby.com,**@****.***,,,,,,,,,,,,,,,,,,,,,
109,https://www.ksby.com,******@****.***,,,,,,,,,,,,,,,,,,,,,
110,https://www.ctbsports.com,**@*****.********,,,,,,,,,,,,,,,,,,,,,
111,https://www.knid.com,*********@*******.***,,,,,,,,,,,,,,,,,,,,,
112,https://mykiss951.iheart.com,****@*************.***,,,,,,,,,,,,,,,,,,,,,
113,https://www.wjzd.com,***.*******@************.***,,,,,,,,,,,,,,,,,,,,,
114,https://www.itisanewday.com,******@****************.***,,,,,,,,,,,,,,,,,,,,,
115,https://www.kzoz.com,****.*********@*********.***.**,,,,,,,,,,,,,,,,,,,,,
116,https://www.q1045fm.com,*********@************.***,,,,,,,,,,,,,,,,,,,,,
117,https://www.jugcountry.com,*******.******@***********.***,,,,,,,,,,,,,,,,,,,,,
118,https://www.krush925.com,******@*******.***,,,,,,,,,,,,,,,,,,,,,
119,https://www.radioresultsnetwork.com,******.*********@******.**,,,,,,,,,,,,,,,,,,,,,
120,https://www.wglqradio.com/,******@********.**,,,,,,,,,,,,,,,,,,,,,
121,https://www.wchtradio.com,*******.*******@********.***,,,,,,,,,,,,,,,,,,,,,
122,https://www.knopnews2.com,*******@**************.***,,,,,,,,,,,,,,,,,,,,,
123,https://www.knopnews2.com,*****@************.***,,,,,,,,,,,,,,,,,,,,,
124,https://www.koaa.com,*******@***********.***,,,,,,,,,,,,,,,,,,,,,
125,https://www.koaa.com,*******@**********.********,,,,,,,,,,,,,,,,,,,,,
126,https://www.koaa.com,*******@*****************.***,,,,,,,,,,,,,,,,,,,,,
127,,***********@********.***,,,,,,,,,,,,,,,,,,,,,
128,,*****@********.***,,,,,,,,,,,,,,,,,,,,,
129,https://kve.fm,*****@************.***,,,,,,,,,,,,,,,,,,,,,
130,https://www.k96fm.com,******@************.***,,,,,,,,,,,,,,,,,,,,,
131,https://www.ksenam.com,********@*******.***,,,,,,,,,,,,,,,,,,,,,
132,https://www.wfil.com,***********@*****.***,,,,,,,,,,,,,,,,,,,,,
133,https://www.wtaq.com,********@**********.***,********@*****.**,,,,,,,,,,,,,,,,,,,,
134,https://www.wnflam.com,****.*****@**********.***,,,,,,,,,,,,,,,,,,,,,
135,https://thebeatofsports.com,*****@*********.***,,,,,,,,,,,,,,,,,,,,,
136,https://mystar99.com,*****.**************@*********.***,,,,,,,,,,,,,,,,,,,,,
137,https://sunny981.com,****@******************.***,,,,,,,,,,,,,,,,,,,,,
138,https://www.therocket951.com,***.******@***********.***,,,,,,,,,,,,,,,,,,,,,
139,https://southern935.com,*.******@****************.***,,,,,,,,,,,,,,,,,,,,,
140,https://www.1049therebel.com,*******@*******.***,,,,,,,,,,,,,,,,,,,,,
141,https://warm1069.com/sunday-morning-magazine/,******@**********.***,**********@*******.***,,,,,,,,,,,,,,,,,,,,
142,https://warm1069.com/inspirational-women,**@***********.**,,,,,,,,,,,,,,,,,,,,,
